WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
58717/4.01,MILLING,MP/MET3/738-029,"738-029 Rev A   PROTECTOR, SEALING, CAP, 40mm OD  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.42,30,MILL,30/04/2021,
58717/4.01,MILLING,MP/MET3/738-029,"738-029 Rev A   PROTECTOR, SEALING, CAP, 40mm OD  (Black Acetal)",METROL TECHNOLOGY LIMITED,0.67,40,MILL,30/04/2021,
58717/4.01,TURNING,MP/MET3/738-029,"738-029 Rev A   PROTECTOR, SEALING, CAP, 40mm OD  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.68,20,TURN,30/04/2021,
58721/1.01,MILLING,MP/MET3/738-032,"738-032 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, 7/8-20 UNEF B  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.38,30,MILL,03/05/2021,
58721/1.01,TURNING,MP/MET3/738-032,"738-032 Rev A   PROTECTOR, THREADED, SEALING, CAP, 32mm OD, 7/8-20 UNEF B  (Black Acetal)",METROL TECHNOLOGY LIMITED,1.63,20,TURN,03/05/2021,
58721/2.01,TURNING,MP/MET3/702-011,"702-011 Rev A   INSULATOR PLUG, BATTERY PACK POMONA, 14mm OD, 19mm LG  (PEEK GF30)",METROL TECHNOLOGY LIMITED,1.63,20,TURN,03/05/2021,
58776/2.01,MILLING,MP/HYD5/059653HYD,"059653HYD REV 0, CLAMP BODY - 6"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,18,20,MILL BLOCK & DRILL,03/05/2021,
58776/1.01,MILLING,MP/HYD5/059616HYD,"059616HYD REV 0, CLAMP BODY - 8"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,20,MILL BLOCK & DRILL,05/05/2021,
58776/2.01,MILLING,MP/HYD5/059653HYD,"059653HYD REV 0, CLAMP BODY - 6"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,18,30,MILL BORE,05/05/2021,
58776/3.01,MILLING,MP/HYD5/059654HYD,"059654HYD REV 0, CLAMP BODY - 3"" BEND STIFFENER (BLACK ACETAL) C/W SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,20,MILL BLOCK & DRILL,05/05/2021,
58776/1.01,MILLING,MP/HYD5/059616HYD,"059616HYD REV 0, CLAMP BODY - 8"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,30,MILL BORE,06/05/2021,
58776/3.01,MILLING,MP/HYD5/059654HYD,"059654HYD REV 0, CLAMP BODY - 3"" BEND STIFFENER (BLACK ACETAL) C/W SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,30,MILL BORE,06/05/2021,
58776/1.01,MILLING,MP/HYD5/059616HYD,"059616HYD REV 0, CLAMP BODY - 8"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,40,MILL TAPER,07/05/2021,
58776/2.01,MILLING,MP/HYD5/059653HYD,"059653HYD REV 0, CLAMP BODY - 6"" BEND STIFFENER (BLACK ACETAL) C/W  SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,18,40,MILL TAPER,07/05/2021,
58776/3.01,MILLING,MP/HYD5/059654HYD,"059654HYD REV 0, CLAMP BODY - 3"" BEND STIFFENER (BLACK ACETAL) C/W SPACER 300mm LONG X 32mm WIDE WITH HOLES
",HYDRASUN LTD,7,40,MILL TAPER,07/05/2021,
57078/7.01,MANUAL MACHINING,MP/THA2/LDUK10041218-003,"GLUE DAM FORWARD/REAR, LDUK10041218-003 iss 1 (PORON 4790-92-20081-04P)",THALES UK LIMITED,1.17,20,PUNCH,12/05/2021,
57078/7.01,MANUAL MACHINING,MP/THA2/LDUK10041218-003,"GLUE DAM FORWARD/REAR, LDUK10041218-003 iss 1 (PORON 4790-92-20081-04P)",THALES UK LIMITED,1,30,BAG AND TAG,12/05/2021,
58492/2.01,MILLING,MP/WAL3/01-00113X02,01-00113X02 Rev 00   SSPA SIDE PLATE SPACER (PEEK 30% GLASS FILLED),WALKER PRECISION ENGINEERING Ltd,14.5,20,MILL,24/06/2021,
58492/2.01,TURNING,MP/WAL3/01-00113X02,01-00113X02 Rev 00   SSPA SIDE PLATE SPACER (PEEK 30% GLASS FILLED),WALKER PRECISION ENGINEERING Ltd,19.08,30,TURN,28/06/2021,
